#c=0.000100, alpha=0.900000, tmin=0.000000, tmax=5.000000, N_t=100000, epsilonIntegral=0.000001, epsilonBinning=0.000001, dim=2, initialEnsemble: { (100000, (0.707107+0.000000i, 0.500000+0.500000i)) }
795.774715
0.37505 0.0000 0165 0.010217 -0.003974 0.003147 0.4998204+0.0000000i -0.0005203+0.4993387i -0.0005203-0.4993387i 0.5001796+0.0000000i 0.4998167+0.0000000i -0.0005006+0.4993559i -0.0005006-0.4993559i 0.5001833+0.0000000i 
0.38005 0.0000 0169 0.010174 -0.004087 0.003184 0.4998165+0.0000000i -0.0162205+0.4990755i -0.0162205-0.4990755i 0.5001835+0.0000000i 0.4998091+0.0000000i -0.0162070+0.4990827i -0.0162070-0.4990827i 0.5001909+0.0000000i 
0.38505 0.0000 0173 0.010127 -0.004200 0.003221 0.4998076+0.0000000i -0.0319120+0.4983052i -0.0319120-0.4983052i 0.5001924-0.0000000i 0.4998014+0.0000000i -0.0318970+0.4983163i -0.0318970-0.4983163i 0.5001986+0.0000000i 
0.39005 0.0000 0177 0.010076 -0.004314 0.003256 0.4997985+0.0000000i -0.0475715+0.4970424i -0.0475715-0.4970424i 0.5002015+0.0000000i 0.4997936+0.0000000i -0.0475549+0.4970575i -0.0475549-0.4970575i 0.5002064+0.0000000i 
0.39505 0.0000 0183 0.010022 -0.004427 0.003290 0.4997810+0.0000000i -0.0631935+0.4952695i -0.0631935-0.4952695i 0.5002190+0.0000000i 0.4997859+0.0000000i -0.0631654+0.4953076i -0.0631654-0.4953076i 0.5002141+0.0000000i 
0.40005 0.0000 0184 0.009963 -0.004541 0.003322 0.4997799+0.0000000i -0.0787322+0.4930437i -0.0787322-0.4930437i 0.5002201-0.0000000i 0.4997782+0.0000000i -0.0787129+0.4930682i -0.0787129-0.4930682i 0.5002218-0.0000000i 
0.40505 0.0000 0188 0.009901 -0.004655 0.003353 0.4997761+0.0000000i -0.0941965+0.4903241i -0.0941965-0.4903241i 0.5002239+0.0000000i 0.4997705+0.0000000i -0.0941821+0.4903416i -0.0941821-0.4903416i 0.5002295-0.0000000i 
0.41005 0.0000 0191 0.009835 -0.004769 0.003382 0.4997633+0.0000000i -0.1095765+0.4871030i -0.1095765-0.4871030i 0.5002367+0.0000000i 0.4997628+0.0000000i -0.1095577+0.4871304i -0.1095577-0.4871304i 0.5002372-0.0000000i 
0.41505 0.0000 0196 0.009766 -0.004883 0.003410 0.4997627+0.0000000i -0.1248365+0.4834216i -0.1248365-0.4834216i 0.5002373+0.0000000i 0.4997553+0.0000000i -0.1248246+0.4834379i -0.1248246-0.4834379i 0.5002447-0.0000000i 
0.42005 0.0000 0199 0.009693 -0.004997 0.003437 0.4997558+0.0000000i -0.1399784+0.4792520i -0.1399784-0.4792520i 0.5002442+0.0000000i 0.4997478+0.0000000i -0.1399675+0.4792676i -0.1399675-0.4792676i 0.5002522-0.0000000i 
0.42505 0.0000 0200 0.009617 -0.005110 0.003462 0.4997553+0.0000000i -0.1549771+0.4746183i -0.1549771-0.4746183i 0.5002447-0.0000000i 0.4997404+0.0000000i -0.1549716+0.4746236i -0.1549716-0.4746236i 0.5002596+0.0000000i 
0.43005 0.0000 0201 0.009538 -0.005223 0.003485 0.4997483+0.0000000i -0.1698271+0.4695056i -0.1698271-0.4695056i 0.5002517+0.0000000i 0.4997331+0.0000000i -0.1698220+0.4695106i -0.1698220-0.4695106i 0.5002669-0.0000000i 
0.43505 0.0000 0204 0.009455 -0.005335 0.003507 0.4997414+0.0000000i -0.1845089+0.4639286i -0.1845089-0.4639286i 0.5002586-0.0000000i 0.4997260+0.0000000i -0.1845040+0.4639336i -0.1845040-0.4639336i 0.5002740-0.0000000i 
